problem_id,original,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5,direct_6,direct_7,top8,rank_order,top1_index,top1
codechef_MAX6_max-sixers,1643.6077440000004,1522.4872479999997,1704.1796960000004,1626.5928979999999,1674.287177,1845.097605,1858.211364,1434.2253790000004,1603.021663,1434.2253790000004,"['direct_6', 'direct_0', 'direct_7', 'direct_2', 'direct_3', 'direct_1', 'direct_4', 'direct_5']",direct_5,1858.211364
codechef_MDGT_lost-in-the-fest!!,1734.9892319999994,1538.0757820000001,1618.168678,1607.8866749999995,1583.2873670000013,1754.4012819999994,1551.4896200000003,1598.7044239999996,1610.5430120000003,1538.0757820000001,"['direct_0', 'direct_5', 'direct_3', 'direct_6', 'direct_2', 'direct_7', 'direct_1', 'direct_4']",direct_4,1754.4012819999994
codechef_MINA2B_a-to-b,1586.8095989999995,1625.2776280000003,1621.9893760000002,1837.5129719999998,1814.49941,1854.1122190000003,1731.4161629999999,1761.0362410000005,1480.618352,1480.618352,"['direct_7', 'direct_1', 'direct_0', 'direct_5', 'direct_6', 'direct_3', 'direct_2', 'direct_4']",direct_3,1814.49941
codechef_MINBOTTLES_minimum-bottles,1563.0419110000007,1485.4851640000002,1657.3792459999995,1463.0760549999998,1621.975654,1787.4518469999994,1838.1922280000001,1594.3999430000003,1664.9913289999997,1463.0760549999998,"['direct_2', 'direct_0', 'direct_6', 'direct_3', 'direct_1', 'direct_7', 'direct_4', 'direct_5']",direct_6,1594.3999430000003
codechef_MINCOL_minimum-colours-(easy),9286.922761999997,5325.367386999999,4764.832322000003,5196.932848,5171.035379999999,6231.272934000001,5208.618432999999,5532.225461999999,5638.201104000001,4764.832322000003,"['direct_1', 'direct_3', 'direct_2', 'direct_5', 'direct_0', 'direct_6', 'direct_7', 'direct_4']",direct_1,4764.832322000003
codechef_MINMAXSUB_min-max-game,2022.1943359999998,1870.4294600000007,1675.456688,1689.5533879999998,1592.0707150000003,1729.338034,1595.3898820000002,1746.0201740000005,1580.7503539999998,1580.7503539999998,"['direct_7', 'direct_3', 'direct_5', 'direct_1', 'direct_2', 'direct_4', 'direct_6', 'direct_0']",direct_2,1689.5533879999998
codechef_MODINDROME_modindrome,1786.3996000000006,1783.284329,1824.7222510000004,1727.774253,1633.6667680000003,1741.7263679999996,1916.871898999999,1916.4795510000001,1874.9992780000002,1633.6667680000003,"['direct_3', 'direct_2', 'direct_4', 'direct_0', 'direct_1', 'direct_7', 'direct_6', 'direct_5']",direct_3,1633.6667680000003
codechef_MOVEMENT_move-grid,1499.3591749999994,1548.863922,1652.7859830000002,1584.9550249999995,1613.1889079999996,1747.662083,1619.319205,1776.0628249999997,1667.9903209999993,1548.863922,"['direct_0', 'direct_2', 'direct_3', 'direct_5', 'direct_1', 'direct_7', 'direct_4', 'direct_6']",direct_6,1776.0628249999997
codechef_MOVPR_movie-snacks,1721.011486,1739.3186999999998,1574.9463429999998,1570.5483110000002,1615.966767,1841.8937770000002,1845.588517,1552.139489,1711.3706349999995,1552.139489,"['direct_6', 'direct_2', 'direct_1', 'direct_3', 'direct_7', 'direct_0', 'direct_4', 'direct_5']",direct_7,1711.3706349999995
codechef_MSATP_friendly-binary-strings,1607.565042,1704.7874690000008,1723.3189599999996,1869.5848199999994,1851.9425900000003,1708.91538,1600.867166,1808.2598620000008,1772.8147399999993,1600.867166,"['direct_5', 'direct_0', 'direct_4', 'direct_1', 'direct_7', 'direct_6', 'direct_3', 'direct_2']",direct_4,1708.91538
codechef_MXFREQ_multiplexer,1782.810984,1908.8030600000004,1708.0718040000002,1653.0064950000003,1916.509752,1766.2306620000006,1979.0073149999994,1782.9005579999998,1912.6161460000005,1653.0064950000003,"['direct_2', 'direct_1', 'direct_4', 'direct_6', 'direct_0', 'direct_7', 'direct_3', 'direct_5']",direct_5,1979.0073149999994
codechef_MXON_maximum-ones,1780.0849889999995,1618.877886,1570.8041379999997,1646.0438500000005,1749.9154319999998,1738.4941440000002,1546.0463109999998,1751.710337,1607.7540899999997,1546.0463109999998,"['direct_5', 'direct_1', 'direct_7', 'direct_0', 'direct_2', 'direct_4', 'direct_3', 'direct_6']",direct_3,1749.9154319999998
codechef_NEWYEAR_happy-new-year!,1568.5873230000007,1540.4027519999997,1809.081655,1460.8058610000005,1620.8728700000004,1596.56937,1740.843757,1600.3622379999995,1604.7006289999997,1460.8058610000005,"['direct_2', 'direct_0', 'direct_4', 'direct_6', 'direct_7', 'direct_3', 'direct_5', 'direct_1']",direct_3,1620.8728700000004
codechef_NUGGET_moneymaking,1639.2199639999997,1478.2427220000004,1907.342167,1704.6600610000005,1831.9042569999997,1641.9743860000008,1535.5796770000004,1600.7179290000006,1484.6232570000002,1478.2427220000004,"['direct_0', 'direct_7', 'direct_5', 'direct_6', 'direct_4', 'direct_2', 'direct_3', 'direct_1']",direct_7,1484.6232570000002
codechef_ORANGES_too-many-oranges,1843.2690269999996,1535.4963230000008,1686.164384,1634.7017139999996,1555.500402000001,1587.096634,1785.9872550000005,1769.3210649999996,1622.1110349999997,1535.4963230000008,"['direct_0', 'direct_3', 'direct_4', 'direct_7', 'direct_2', 'direct_1', 'direct_6', 'direct_5']",direct_7,1622.1110349999997
codechef_P1169_entry-check,1481.8504770000002,1510.3443060000002,1736.0445759999998,1699.4376639999998,1494.9492999999998,1648.928901,1756.4875450000002,1597.4887759999997,1777.997537,1494.9492999999998,"['direct_3', 'direct_0', 'direct_6', 'direct_4', 'direct_2', 'direct_1', 'direct_5', 'direct_7']",direct_6,1597.4887759999997
codechef_P1175_assignment-due,1598.3998429999997,1761.333965,1774.2809149999994,1684.2571500000006,1799.0527120000004,1768.542418,1570.4795890000007,1511.995298,1700.9112089999999,1511.995298,"['direct_6', 'direct_5', 'direct_2', 'direct_7', 'direct_0', 'direct_4', 'direct_1', 'direct_3']",direct_7,1700.9112089999999
codechef_P2169_opposite-attract,1691.753771,1627.2903960000006,1571.7573059999995,1510.5193130000005,1625.8515169999996,1616.909325000001,1687.8331970000002,1745.9329350000005,1509.2368190000002,1509.2368190000002,"['direct_7', 'direct_2', 'direct_1', 'direct_4', 'direct_3', 'direct_0', 'direct_5', 'direct_6']",direct_6,1745.9329350000005
codechef_P2175_technex-tickets,1505.4242630000003,1657.859671,1596.5645389999993,1558.6816490000006,1562.4204040000004,1720.342466,1624.9758370000002,1621.3787559999996,1612.2111569999995,1558.6816490000006,"['direct_2', 'direct_3', 'direct_1', 'direct_7', 'direct_6', 'direct_5', 'direct_0', 'direct_4']",direct_3,1562.4204040000004
codechef_P2P_make-odd,1597.3942200000004,1720.9995650000005,1503.3659630000009,1501.8486899999998,1616.6415470000004,1740.88133,1753.0542390000003,1780.3326789999992,1767.243243,1501.8486899999998,"['direct_2', 'direct_1', 'direct_3', 'direct_0', 'direct_4', 'direct_5', 'direct_7', 'direct_6']",direct_5,1753.0542390000003
codechef_P3169_make-k-most-frequent,1656.5159369999997,,,,1654.5309479999994,,,1889.0665649999999,1696.8424940000002,1654.5309479999994,"['direct_3', 'direct_7', 'direct_6']",direct_6,1889.0665649999999
codechef_P3175_make-same,1867.1636930000004,1707.7475020000004,1698.274336,1697.8991,1566.5821809999998,1714.5446910000003,1833.8318259999999,1896.9851180000007,1585.0850240000002,1566.5821809999998,"['direct_3', 'direct_7', 'direct_2', 'direct_1', 'direct_0', 'direct_4', 'direct_5', 'direct_6']",direct_6,1896.9851180000007
codechef_P4169_hamming-equivalent,1669.0070819999996,2030.4599609999998,1702.8292949999998,1731.4847809999997,1597.711979,1704.7175069999996,1747.9242590000008,1813.675547000001,1688.8973630000012,1597.711979,"['direct_3', 'direct_7', 'direct_1', 'direct_4', 'direct_2', 'direct_5', 'direct_6', 'direct_0']",direct_6,1813.675547000001
codechef_P4172_transform-string,1960.1211170000006,1720.53501,1758.7173999999998,1664.5044809999995,1626.063584,1588.9933149999997,1610.3808660000009,1608.986085,1613.7485809999994,1588.9933149999997,"['direct_4', 'direct_6', 'direct_5', 'direct_7', 'direct_3', 'direct_2', 'direct_0', 'direct_1']",direct_7,1613.7485809999994
codechef_P4175_alternate-it!,1770.428713,,,,1727.0154340000001,,,2327.199364000001,2263.356221,1727.0154340000001,"['direct_3', 'direct_7', 'direct_6']",direct_3,1727.0154340000001
codechef_P5169_constant-subsequence,3142.521184999999,2974.852282,2944.8193770000007,2880.3584539999983,2911.611453999999,,2780.6618290000006,3034.3091140000015,2943.3579950000003,2780.6618290000006,"['direct_5', 'direct_2', 'direct_3', 'direct_7', 'direct_1', 'direct_0', 'direct_6']",direct_5,2780.6618290000006
codechef_PERMCON_permutation-construct,1610.766036,1514.6416330000004,1826.9745330000003,1623.765902,1758.0630709999998,1773.132143,1742.0841199999995,1521.8529940000003,1646.5958849999993,1514.6416330000004,"['direct_0', 'direct_6', 'direct_2', 'direct_7', 'direct_5', 'direct_3', 'direct_4', 'direct_1']",direct_0,1514.6416330000004
codechef_PERMMODK_permutation-mod-k,1590.5019839999998,1568.113692,1833.4592589999997,1797.1251869999999,1648.0579160000004,1662.6836899999996,1662.5744529999995,1935.2134239999998,1775.1847520000006,1568.113692,"['direct_0', 'direct_3', 'direct_5', 'direct_4', 'direct_7', 'direct_2', 'direct_1', 'direct_6']",direct_0,1568.113692
codechef_PERMUTATION2_permutation-pair,1856.5639689999996,1774.6733839999997,1790.4352800000001,1858.0522259999998,1798.334638000001,1732.9692019999998,1762.7062459999995,1889.6968180000003,1783.7680910000004,1732.9692019999998,"['direct_4', 'direct_5', 'direct_0', 'direct_7', 'direct_1', 'direct_3', 'direct_2', 'direct_6']",direct_6,1889.6968180000003
codechef_PIVOTALREV_pivotal-reversal,60998.39260199999,21418.38483899999,,,16581.291793000004,15345.607200999997,23199.748785000003,14702.01733,15590.530509,14702.01733,"['direct_6', 'direct_4', 'direct_7', 'direct_3', 'direct_0', 'direct_5']",direct_6,14702.01733
codechef_PLACE0110_placing-01-and-10,1667.7412479999994,1675.7529280000003,1690.402354,1531.420429,1607.6924689999998,1738.350941,1517.3848010000002,1691.0409199999992,1682.844582,1517.3848010000002,"['direct_5', 'direct_2', 'direct_3', 'direct_0', 'direct_7', 'direct_1', 'direct_6', 'direct_4']",direct_6,1691.0409199999992
codechef_POSTPERI_poster-perimeter,1542.20509,1801.1476010000003,1680.511362,1739.1932199999997,1630.6074550000003,1723.5072750000002,1607.710552,1646.3145490000004,1654.3330250000001,1607.710552,"['direct_5', 'direct_3', 'direct_6', 'direct_7', 'direct_1', 'direct_4', 'direct_2', 'direct_0']",direct_1,1680.511362
codechef_QUICKEXIT0_quick-exit,1890.0920350000001,1832.4777589999992,,1888.944112,1784.3511409999999,,2074.052051,,1921.203916,1784.3511409999999,"['direct_3', 'direct_0', 'direct_2', 'direct_7', 'direct_5']",direct_7,1921.203916
codechef_RBGM_red-blue-sort,1764.5031820000006,1837.05558,1627.0844299999994,1832.1772099999998,1773.2966809999998,1763.4892619999998,1571.6780499999995,1654.798595,1820.5162440000001,1571.6780499999995,"['direct_5', 'direct_1', 'direct_6', 'direct_4', 'direct_3', 'direct_7', 'direct_2', 'direct_0']",direct_0,1837.05558
codechef_RURT_run-for-fun,1564.4228510000005,1656.439559000001,1709.8889679999995,1570.647964,1645.0312040000003,1677.2837109999998,1617.0220010000005,1398.0872249999998,1602.7219350000005,1398.0872249999998,"['direct_6', 'direct_2', 'direct_7', 'direct_5', 'direct_3', 'direct_0', 'direct_4', 'direct_1']",direct_7,1602.7219350000005
codechef_SAMEAND_same-and,1734.8175930000002,1754.797591,1779.1925390000001,1735.9351800000009,1539.2775830000003,1558.8003849999998,1620.5019460000005,1725.6667449999998,1645.2884679999997,1539.2775830000003,"['direct_3', 'direct_4', 'direct_5', 'direct_7', 'direct_6', 'direct_2', 'direct_0', 'direct_1']",direct_6,1725.6667449999998
codechef_SMOOTHINC_smoothly-increasing,2603.5622569999996,,1542.5274219999997,1564.2300700000003,1793.3725239999994,1653.7376480000003,1692.1623099999988,1732.1244169999998,1809.3984119999996,1542.5274219999997,"['direct_1', 'direct_2', 'direct_4', 'direct_5', 'direct_6', 'direct_3', 'direct_7']",direct_4,1653.7376480000003
codechef_SORTTHEM_sort-them,1736.874357,1709.8606399999994,1653.9399149999992,1700.9195610000002,1866.3201250000006,2199.3224610000007,1687.2059020000004,1558.7405259999996,1712.4785410000002,1558.7405259999996,"['direct_6', 'direct_1', 'direct_5', 'direct_2', 'direct_0', 'direct_7', 'direct_3', 'direct_4']",direct_7,1712.4785410000002
codechef_SPC2025Q2_itz-simple,1667.3918679999995,1649.534251,1742.6501320000004,1474.6151349999996,1578.4939230000007,1827.102527,1716.3087889999997,1680.7568990000002,1521.5790449999997,1474.6151349999996,"['direct_2', 'direct_7', 'direct_3', 'direct_0', 'direct_6', 'direct_5', 'direct_1', 'direct_4']",direct_1,1742.6501320000004
codechef_SPC2025Q5_halloween-array,1622.1005129999996,1654.2895039999999,1521.6355989999995,1563.1072699999995,1574.1985869999999,1514.8236360000003,1772.0431930000007,1684.4052049999998,1770.551315,1514.8236360000003,"['direct_4', 'direct_1', 'direct_2', 'direct_3', 'direct_0', 'direct_6', 'direct_7', 'direct_5']",direct_4,1514.8236360000003
codechef_SPC2025Q6_connecting-wells,1729.0822159999998,2090.1207719999993,1889.59313,1494.5984389999996,1513.4349379999999,1591.7203190000002,1567.0899479999987,1645.1127380000003,1699.0627590000004,1494.5984389999996,"['direct_2', 'direct_3', 'direct_5', 'direct_4', 'direct_6', 'direct_7', 'direct_1', 'direct_0']",direct_0,2090.1207719999993
codechef_SPC2025_new-pro-coder,1640.7864910000003,1656.5711559999995,1494.3756309999999,1630.8289570000004,1626.2500140000002,1563.2774040000002,1905.2434360000004,1521.4235539999995,1461.584619,1461.584619,"['direct_7', 'direct_1', 'direct_6', 'direct_4', 'direct_3', 'direct_2', 'direct_0', 'direct_5']",direct_2,1630.8289570000004
codechef_SQUIDBANK_squid-game---piggy-bank,1698.345003,1787.226412000001,1626.4087019999993,1444.8213269999999,1510.2886799999992,1559.4523649999999,1631.0270139999998,1590.1179300000001,1618.2542879999996,1444.8213269999999,"['direct_2', 'direct_3', 'direct_4', 'direct_6', 'direct_7', 'direct_1', 'direct_5', 'direct_0']",direct_2,1444.8213269999999
