problem_id,best_direct,original,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,top8,rank_order
atcoder_abc380d_strange-mirroring,924.836563,905.590064,881.5135989999999,893.9730350000001,934.0051759999998,973.9997240000002,930.8790379999999,1025.0980840000002,,,881.5135989999999,"['rank_1', 'rank_2', 'rank_5', 'rank_3', 'rank_4', 'rank_6']"
atcoder_abc380e_1d-bucket-tool,,457.60143099999993,399.2529360000001,,363.365175,290.129048,287.760426,,,,287.760426,"['rank_5', 'rank_4', 'rank_3', 'rank_1']"
atcoder_abc380f_exchange-game,495.65842699999996,509.60691099999985,590.449475,469.59112100000004,495.886437,401.43815900000004,420.397912,444.1289239999999,417.331133,536.44961,401.43815900000004,"['rank_4', 'rank_7', 'rank_5', 'rank_6', 'rank_2', 'rank_3', 'rank_8', 'rank_1']"
atcoder_abc381a_11-22-string,401.089841,355.54166599999996,265.68183500000004,241.91044,274.726694,264.39903799999996,295.01168599999994,285.46695300000005,291.792227,319.925094,241.91044,"['rank_2', 'rank_4', 'rank_1', 'rank_3', 'rank_6', 'rank_7', 'rank_5', 'rank_8']"
atcoder_abc381b_1122-string,426.89420300000006,282.681262,,,326.417214,374.446426,,,,353.152659,326.417214,"['rank_3', 'rank_8', 'rank_4']"
atcoder_abc381c_11-22-substring,542.893293,415.8068160000001,514.4821569999999,,519.128076,466.97515200000004,,622.385503,,,466.97515200000004,"['rank_4', 'rank_1', 'rank_3', 'rank_6']"
atcoder_abc381d_1122-substring,512.850894,440.530525,,,,,,,,,,[]
atcoder_abc382b_daily-cookie-2,400.9384510000001,338.447635,355.794688,361.289884,288.992622,270.49060899999995,275.52649,367.44553099999996,375.5379469999999,362.48776699999996,270.49060899999995,"['rank_4', 'rank_5', 'rank_3', 'rank_1', 'rank_2', 'rank_8', 'rank_6', 'rank_7']"
atcoder_abc383a_humidifier-1,327.940133,320.51329899999996,319.040239,311.543575,273.985621,338.1502619999999,318.173802,289.886435,277.042023,331.24127400000003,273.985621,"['rank_3', 'rank_7', 'rank_6', 'rank_2', 'rank_5', 'rank_1', 'rank_8', 'rank_4']"
atcoder_abc383b_humidifier-2,332.325602,387.95611399999996,414.672393,340.422862,307.74528,268.148432,384.4990710000001,312.86354,386.21456700000005,300.895675,268.148432,"['rank_4', 'rank_8', 'rank_3', 'rank_6', 'rank_2', 'rank_5', 'rank_7', 'rank_1']"
atcoder_abc383d_9-divisors,647.6071320000001,6695.8684299999995,634.5228689999999,,528.644548,,,,,,528.644548,"['rank_3', 'rank_1']"
atcoder_abc383e_sum-of-max-matching,778.0629850000003,981.1723200000001,1006.6236540000001,,1201.66376,1031.6035529999997,,1025.992552,1056.7756289999998,,1006.6236540000001,"['rank_1', 'rank_6', 'rank_4', 'rank_7', 'rank_3']"
atcoder_abc383f_diversity,599.294195,599.7443129999999,5508.1564819999985,1073.4526090000002,,,,,,,1073.4526090000002,"['rank_2', 'rank_1']"
atcoder_abc384a_aaaadaa,295.62604899999997,299.300611,319.454941,379.48977099999996,,351.857062,,378.133693,320.840696,,319.454941,"['rank_1', 'rank_7', 'rank_4', 'rank_6', 'rank_2']"
atcoder_abc384c_perfect-standings,236.60963799999996,422.33780299999995,312.51382100000006,307.64974800000005,281.360288,283.022038,336.68220400000007,355.392844,313.702193,366.32786600000003,281.360288,"['rank_3', 'rank_4', 'rank_2', 'rank_1', 'rank_7', 'rank_5', 'rank_6', 'rank_8']"
atcoder_abc384d_repeated-sequence,,376.6697690000001,,340.46383199999997,,298.923731,,,324.367866,,298.923731,"['rank_4', 'rank_7', 'rank_2']"
atcoder_abc384e_takahashi-is-slime-2,402.74278,538.5413649999999,433.62587499999995,,352.1656689999999,399.57333199999994,,,342.32599899999997,364.056058,342.32599899999997,"['rank_7', 'rank_3', 'rank_8', 'rank_4', 'rank_1']"
atcoder_abc384f_double-sum-2,,15872.848709000002,15355.095391,,16087.537213,,,15906.770386,,,15355.095391,"['rank_1', 'rank_6', 'rank_3']"
atcoder_abc385a_equally,273.77549500000003,309.770507,,449.530121,386.939613,272.211995,373.298546,342.73684899999995,,271.830103,271.830103,"['rank_8', 'rank_4', 'rank_6', 'rank_5', 'rank_3', 'rank_2']"
atcoder_abc385b_santa-claus-1,315.876647,393.12687399999993,418.11103600000007,303.827743,399.241739,397.64970200000005,353.64192500000007,304.944978,417.024855,403.51435899999996,303.827743,"['rank_2', 'rank_6', 'rank_5', 'rank_4', 'rank_3', 'rank_8', 'rank_7', 'rank_1']"
atcoder_abc385e_snowflake-tree,3087.2793149999998,3044.2777069999997,3117.478007,3266.275372,4282.829656,,,,,,3117.478007,"['rank_1', 'rank_2', 'rank_3']"
atcoder_abc385f_visible-buildings,,416.1545479999999,,,,,,,,,,[]
atcoder_abc386a_full-house-2,241.550032,322.879439,,311.94969100000003,342.62936099999996,,,,,,311.94969100000003,"['rank_2', 'rank_3']"
